topic,languages,main_speaker,duration,film_date,published_date,comments,views
Society,34,Chris Jordan,674,2008,2008,218,1520108
Technology&Science ,52,Dean Ornish,192,2008,2008,102,1384333
Technology&Science ,19,Robert Full,1222,2002,2008,83,799797
Economy,25,Steven Levitt,1138,2005,2008,119,749952
Art,45,Benjamin Zander,1243,2008,2008,638,9315483
Technology&Science ,18,Nicholas Negroponte,1000,2007,2008,43,398643
Art,39,Nellie McKay,140,2008,2008,42,680591
Technology&Science ,32,Peter Diamandis,241,2008,2008,38,497899
Art,25,Rick Smolan,1507,2007,2008,197,1123955
Art,25,Raul Midon,559,2007,2008,49,327542
Society,20,Corneille Ewango,1098,2007,2008,41,368974
Technology&Science ,19,Torsten Reil,1100,2003,2008,43,325148
Society,24,Clay Shirky,1246,2005,2008,64,1097533
Art,24,Nellie McKay,334,2008,2008,59,1013879
Technology&Science ,24,Freeman Dyson,1151,2003,2008,87,895199
Technology&Science ,33,Helen Fisher,956,2008,2008,229,4883112
Society,27,Billy Graham,1580,1998,2008,791,1532675
Society,39,AJ Jacobs,1060,2007,2008,583,2291701
Technology&Science ,28,Keith Barry,1189,2004,2008,669,13327101
Technology&Science ,36,Martin Seligman,1422,2004,2008,224,4190393
Art,43,Marisa Fick-Jordan,153,2007,2008,15,294961
Society,28,Chris Abani,974,2008,2008,137,843859
Technology&Science ,23,Louise Leakey,936,2008,2008,70,656400
Technology&Science ,24,Jonathan Harris,1229,2007,2008,79,855052
Art,18,Reed Kroloff,921,2003,2008,36,282994
Technology&Science ,26,Kevin Kelly,1174,2007,2008,233,1358292
Technology&Science ,21,Kwabena Boahen,982,2007,2008,93,580298
Technology&Science ,29,Robert Lang,953,2008,2008,66,2161846
Art,38,Bruno Bowden + Rufus Cappadocia,178,2008,2008,16,375734
Technology&Science ,30,Patricia Burchat,969,2008,2008,272,1410164
Technology&Science ,22,Spencer Wells,1253,2007,2008,90,665947
Society,28,David Griffin,893,2008,2008,80,1056435
Art,21,Lennart Green,1868,2005,2008,109,4204848
Technology&Science ,25,Ian Dunbar,886,2007,2008,134,1002304
Art,27,Nellie McKay,213,2008,2008,45,679711
Art,19,John Q. Walker,821,2007,2008,55,329964
Education,30,Sugata Mitra,1259,2007,2008,174,1486853
Society,19,Ory Okolloh,998,2007,2008,92,321896
Education,31,Einstein the Parrot,348,2006,2008,99,2350678
Technology&Science ,21,Paul Rothemund,984,2008,2008,54,501256
Technology&Science ,21,Peter Diamandis,931,2005,2008,91,504508
Technology&Science ,17,Peter Hirshberg,1899,2007,2008,62,250722
Technology&Science ,27,Jonathan Drori,748,2007,2008,151,1032549
Environment,26,Jane Goodall,1426,2007,2008,62,556147
Technology&Science ,21,Irwin Redlener,1518,2008,2008,85,657688
Technology&Science ,24,Brewster Kahle,1206,2007,2008,56,445781
Technology&Science ,25,David Gallo,800,1998,2008,66,996736
Art,23,Carmen Agra Deedy,1414,2005,2008,68,672797
Technology&Science ,18,Keith Bellows,966,2002,2008,12,185275
Education,26,Ann Cooper,1182,2007,2008,219,1137771
Politics,31,Jonathan Haidt,1122,2008,2008,838,2724208
Society,27,Eve Ensler,825,2005,2008,97,1074170
Technology&Science ,20,David S. Rose,879,2007,2008,102,1008394
Health&Medical,22,Marvin Minsky,813,2003,2008,45,513090
Technology&Science ,33,Philip Zimbardo,1396,2008,2008,383,5842377
Self-development,53,Laura Trice,209,2008,2008,166,1714168
Technology&Science ,17,Caleb Chung,1107,2007,2008,39,417769
Society,29,Steven Pinker,1362,2003,2008,218,1044038
Technology&Science ,20,Rodney Brooks,1127,2003,2008,81,602024
Self-development,37,Stefan Sagmeister,285,2008,2008,41,724833
Society,21,Noah Feldman,907,2003,2008,172,385647
Art,17,Liz Diller,1164,2007,2008,53,583322
Health&Medical,27,James Nachtwey,352,2008,2008,33,421212
Technology&Science ,30,David Perry,1266,2006,2008,180,1084634
Self-development,19,Doris Kearns Goodwin,1128,2008,2008,53,522550
Society,21,Steven Johnson,990,2003,2008,15,344618
Art,34,James Burchfield,284,2003,2008,93,794615
Technology&Science ,24,Garrett Lisi,1286,2008,2008,278,1491698
Art,20,Paola Antonelli,1060,2007,2008,23,313572
Art,22,Virginia Postrel,975,2004,2008,43,379382
Health&Medical,22,Dean Ornish,1009,2004,2008,120,1110781
Technology&Science ,26,John Hodgman,1000,2008,2008,111,1935213
Environment,19,Paul MacCready,1368,1998,2008,29,197139
Self-development,34,Mihaly Csikszentmihalyi,1135,2004,2008,243,4016531
Health&Medical,32,Kristen Ashburn,277,2003,2008,40,352285
