date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:17	15089/15089	---MCZ	200	added ('OK')	text/html	etag:W/%221e929797a8abf34cf15394329220dee4%22	http://jasoseol.com/blog/post/51	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/post/51.html	(from http://jasoseol.com/blog/category)
11:33:23	33600/33600	---M--	200	added ('OK')	image/jpeg	etag:%227ef1ff63832facf3b297394bfac89aef%22	http://jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/051/thumb/180607_%e1%84%8c%e1%85%a1%e1%84%89%e1%85%a9%e1%84%89%e1%85%a5%e1%86%af_1.jpg?1528425009	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/051/thumb/180607_%e1%84%8c%e1%85%a1%e1%84%89%e1%85%a9%e1%84%89%e1%85%a5%e1%86%af_1f7d3.jpg	(from http://jasoseol.com/blog/category)
11:33:25	14715/14715	---MCZ	200	added ('OK')	text/html	etag:W/%224a0e5070905dfe059fa3fafe5ea67911%22	http://jasoseol.com/blog/post/50	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/post/50.html	(from http://jasoseol.com/blog/category)
11:33:26	9081/9081	---M--	200	added ('OK')	image/jpeg	etag:%2278fbd9d1ffc6ad13c4f0dd2eb76da824%22	http://jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/050/thumb/180601_%e1%84%8c%e1%85%a1%e1%84%89%e1%85%a9%e1%84%89%e1%85%a5%e1%86%af_1.jpg?1527842748	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/050/thumb/180601_%e1%84%8c%e1%85%a1%e1%84%89%e1%85%a9%e1%84%89%e1%85%a5%e1%86%af_126c0.jpg	(from http://jasoseol.com/blog/category)
11:33:27	15558/15558	---MCZ	200	added ('OK')	text/html	etag:W/%226897b4be4665d5d109d8c8145c335706%22	http://jasoseol.com/blog/post/49	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/post/49.html	(from http://jasoseol.com/blog/category)
11:33:29	8792/8792	---M--	200	added ('OK')	image/jpeg	etag:%22c49d1d2557352cc08005e7b71b6fccc3%22	http://jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/049/thumb/1.jpg?1527503480	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/049/thumb/15d4a.jpg	(from http://jasoseol.com/blog/category)
11:33:29	13403/13403	---M-Z	200	added ('OK')	text/html	etag:W/%226ba35033ed841927533beb4ad58237d6%22	http://jasoseol.com/blog/post/48	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/post/48.html	(from http://jasoseol.com/blog/category)
11:33:31	9371/9371	---M--	200	added ('OK')	image/jpeg	etag:%223b2f9b5d9e7597e096fe0baf6cdbf665%22	http://jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/048/thumb/%e1%84%8c%e1%85%a1%e1%84%89%e1%85%a9%e1%84%89%e1%85%a5%e1%86%af_%e1%84%8a%e1%85%a5%e1%86%b7%e1%84%82%e1%85%a6%e1%84%8b%e1%85%b5%e1%86%af%e1%84%8b%e1%85%b5%e1%84%86%e1%85%b5%e1%84%8c%e1%85%b5.jpg?1527241943	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.s3-ap-northeast-2.amazonaws.com/blog_posts/thumbnails/000/000/048/thumb/%e1%84%8c%e1%85%a1%e1%84%89%e1%85%a9%e1%84%89%e1%85%a5%e1%86%af_%e1%84%8a%e1%85%a5%e1%86%b7%e1%84%82%e1%85%a6%e1%84%8b%e1%85%b5%e1%86%af%e1%84%8b%e1%85%b5%e1%84%86%e1%85%b5%e1%84%8c%e1%85%b5c682.jpg	(from http://jasoseol.com/blog/category)
11:33:31	105245/105245	---M--	200	added ('OK')	image/png	etag:%22252cfcca12746f527f2b5c091521999b%22	http://jasoseol.image.s3-ap-northeast-1.amazonaws.com/spec_images/images/000/183/792/original/%e1%84%87%e1%85%b3%e1%86%af%e1%84%85%e1%85%a9%e1%84%80%e1%85%b3_%e1%84%8e%e1%85%a1%e1%86%b7%e1%84%80%e1%85%a9%e1%84%8b%e1%85%b5%e1%84%86%e1%85%b5%e1%84%8c%e1%85%b5_%e1%84%89%e1%85%ae%e1%84%8c%e1%85%a5%e1%86%bc-04.png?1519957600	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.image.s3-ap-northeast-1.amazonaws.com/spec_images/images/000/183/792/original/%e1%84%87%e1%85%b3%e1%86%af%e1%84%85%e1%85%a9%e1%84%80%e1%85%b3_%e1%84%8e%e1%85%a1%e1%86%b7%e1%84%80%e1%85%a9%e1%84%8b%e1%85%b5%e1%84%86%e1%85%b5%e1%84%8c%e1%85%b5_%e1%84%89%e1%85%ae%e1%84%8c%e1%85%a5%e1%86%bc-04da69.png	(from http://jasoseol.com/blog/post/46)
11:33:32	16273/16273	---MCZ	200	added ('OK')	text/html	etag:W/%226eced4f30c0a16f13e98801ebe76e7a6%22	http://jasoseol.com/blog/post/44	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/blog/post/44.html	(from http://jasoseol.com/blog/category)
